FID,Key,SiteCode,Site,SiteLat,SiteLong,Country,Ecoregion,Realm,SurveyID,Depth,SurveyDate,Category,CategoryDescription,MajorCategory,NumPoints,TotalPoints,PercentCover,geom
M3_DATA.2,2,SI16,Eastern Bay Sth Solitary,-30.2,153.27,Australia,Tweed-Moreton,Temperate Australasia,2000974,9,2009-08-22T14:00:00Z,Ecr,Encrusting corals,Coral,1,100,1,POINT (153.27 -30.2)
M3_DATA.9,9,SI16,Eastern Bay Sth Solitary,-30.2,153.27,Australia,Tweed-Moreton,Temperate Australasia,2000974,9,2009-08-22T14:00:00Z,Mas,Massive corals (Live),Coral,4,100,4,POINT (153.27 -30.2)
M3_DATA.13,13,SI16,Eastern Bay Sth Solitary,-30.2,153.27,Australia,Tweed-Moreton,Temperate Australasia,2000975,12,2009-08-22T14:00:00Z,Ecr,Encrusting corals,Coral,4,100,4,POINT (153.27 -30.2)
M3_DATA.33,33,USEC4,Sombrero Light W FL,24.63,-81.11,United States,Floridian,Tropical Atlantic,1003278,5,2010-10-11T13:00:00Z,Mas,Massive corals (Live),Coral,5,100,5,POINT (-81.11 24.63)
M3_DATA.37,37,USEC4,Sombrero Light W FL,24.63,-81.11,United States,Floridian,Tropical Atlantic,1003278,5,2010-10-11T13:00:00Z,Ecr,Encrusting corals,Coral,2,100,2,POINT (-81.11 24.63)
M3_DATA.39,39,USEC11,Coffins Patch W FL,24.69,-80.96,United States,Floridian,Tropical Atlantic,1003284,4.1,2010-10-16T13:00:00Z,Ecr,Encrusting corals,Coral,4,100,4,POINT (-80.96 24.69)
M3_DATA.47,47,USEC13,Looe Reef West FL,24.55,-81.41,United States,Floridian,Tropical Atlantic,1003286,5.1,2010-10-17T13:00:00Z,Ecr,Encrusting corals,Coral,2,100,2,POINT (-81.41 24.55)
M3_DATA.51,51,USEC13,Looe Reef West FL,24.55,-81.41,United States,Floridian,Tropical Atlantic,1003286,5.1,2010-10-17T13:00:00Z,Soft,Soft corals and gorgonians,Coral,12,100,12,POINT (-81.41 24.55)
M3_DATA.54,54,USEC13,Looe Reef West FL,24.55,-81.41,United States,Floridian,Tropical Atlantic,1003286,5.1,2010-10-17T13:00:00Z,Mas,Massive corals (Live),Coral,8,100,8,POINT (-81.41 24.55)
M3_DATA.74,74,SI17,Cleaner Station,-30.2,153.27,Australia,Tweed-Moreton,Temperate Australasia,2000988,8,2009-08-22T14:00:00Z,Bra,Other branching/erect corals (Live),Coral,1,100,1,POINT (153.27 -30.2)
M3_DATA.75,75,SI17,Cleaner Station,-30.2,153.27,Australia,Tweed-Moreton,Temperate Australasia,2000988,8,2009-08-22T14:00:00Z,Ecr,Encrusting corals,Coral,1,100,1,POINT (153.27 -30.2)
